iter	Logloss
0	0.4254225321
1	0.2700803253
2	0.1966741569
3	0.1542294762
4	0.1257500587
5	0.1088300126
6	0.0856149186
7	0.07008165384
8	0.06016095918
9	0.05077694623
10	0.04444437843
11	0.04159162642
12	0.0372321279
13	0.0345053841
14	0.03189332533
15	0.02800293407
16	0.0263253877
17	0.02436276589
18	0.02180059867
19	0.02080385508
20	0.01898131492
21	0.0177813585
22	0.01648932633
23	0.01543394147
24	0.01423670011
25	0.0127850372
26	0.01219182458
27	0.01177819046
28	0.01081228888
29	0.0104459218
30	0.009909015589
31	0.009275222932
32	0.008996370666
33	0.00871628999
34	0.008308844419
35	0.007919255736
36	0.007169539493
37	0.006975461311
38	0.006429336432
39	0.006143792285
40	0.005799829643
41	0.005321705092
42	0.004999291333
43	0.004856455064
44	0.004582916859
45	0.004374354058
46	0.004201937281
47	0.003846922488
48	0.003736361043
49	0.003490098941
50	0.00334237746
51	0.003257449517
52	0.003050441409
53	0.002904944978
54	0.00279100932
55	0.002552897366
56	0.002433563787
57	0.002375796499
58	0.002237022239
59	0.002140616749
60	0.002069758405
61	0.001957372985
62	0.001884235409
63	0.001841648297
64	0.001772497443
65	0.001721041451
66	0.001701681939
67	0.001617177679
68	0.001578906643
69	0.001554413224
70	0.001501649865
71	0.001470493918
72	0.001415715622
73	0.001360934113
74	0.001326076586
75	0.001295058669
76	0.001228147455
77	0.001201088697
78	0.001176035691
79	0.001157544233
80	0.001137365238
81	0.001110865577
82	0.00106434627
83	0.001034919845
84	0.00101145125
85	0.0009886256357
86	0.0009742914266
87	0.0009446672977
88	0.0009075216824
89	0.0008857470828
90	0.0008731293631
91	0.0008529431877
92	0.0008528965918
93	0.0008528965918
94	0.0008268148858
95	0.0008149165219
96	0.0007929669963
97	0.0007929791111
98	0.0007929774236
99	0.0007929664338
100	0.000792952153
101	0.000792952153
102	0.0007854817488
103	0.0007667010184
104	0.0007511510661
105	0.0007511501792
106	0.0007511333483
107	0.0007511184428
108	0.0007511199977
109	0.0007299204232
110	0.0007299204232
111	0.0007299204232
112	0.0007299166563
113	0.0007299166563
114	0.0007298960855
115	0.0007299018833
116	0.0007299018833
117	0.0007299018833
118	0.0007298951309
119	0.0007298951309
120	0.0007298951309
121	0.0007176932836
122	0.0007013658217
123	0.0007013627741
124	0.0007013543316
125	0.0007013456133
126	0.0007013421113
127	0.0007013350561
128	0.0007013319436
129	0.0007013228142
130	0.0007013137497
131	0.0007013076274
132	0.0007012962509
133	0.0007012854774
134	0.0007012775136
135	0.0007012782464
136	0.0007012601418
137	0.0007012559016
138	0.0007012559016
139	0.0007012370994
140	0.0007012381162
141	0.0007012115096
142	0.0007011982915
143	0.0007011948085
144	0.0007011804006
145	0.0007011778045
146	0.0007011617714
147	0.0007011605842
148	0.000701146782
149	0.0007011219251
150	0.0007011167141
151	0.000701108707
